"국가","개발도상국","국가적","선진국","행정부","정부","회원국","나라","가입국","경제","사회"
"유공자","보훈처","기념일","운동가","선언서","촉성","옵서버","표창","배상법","운동사","인권위"
"참전","종군","참전하","출정","파병","가담","참가","발발","입대","대항","출병"
"보훈","의료원","병무청","국세청","조달청","중소기업청","노동청","검찰청","세무서","어린이집","관리원"
"군대","기병대","군세","보병대","부대","병력","프랑스군","군사","수비대","반란군","병사"
"군인","장교","외교관","군무원","정규군","장병","군의관","사병","예비역","하사관","헌병"
"전쟁","내전","전투","포위전","공방전","걸프전","격전","교전","냉전","원정","항쟁"
"복무","군복무","입대","근무","예비역","현역병","현역","진급","임관","징집","법무관"
